,,,C0010
27,Zdrowotnych o charakterze ubezpieczeń innych niż ubezpieczenia na życie,R0300,2 363
28,"Na życie i zdrowotnych o charakterze ubezpieczeń na życie, z wyłączeniem zdrowotnych oraz ubezpieczeń, w których świadczenie jest ustalane w oparciu o określone indeksy lub inne wartości bazowe, i ubezpieczeń związanych z ubezpieczeniowym funduszem kapitałowym",R0310,189 953
29,Zdrowotnych o charakterze ubezpieczeń na życie,R0320,0
30,"Na życie z wyłączeniem zdrowotnych oraz ubezpieczeń, w których świadczenie jest ustalane w oparciu o określone indeksy lub inne wartości bazowe, i ubezpieczeń związanych z ubezpieczeniowym funduszem kapitałowym",R0330,189 953
31,"Ubezpieczeń na życie, w których świadczenie jest ustalane w oparciu o określone indeksy lub inne wartości bazowe, i ubezpieczeń na życie związanych z ubezpieczeniowym funduszem kapitałowym",R0340,0
32,Depozyty u cedentów,R0350,0
33,Należności z tytułu ubezpieczeń i od pośredników ubezpieczeniowych,R0360,195 062
34,Należności z tytułu reasekuracji biernej,R0370,0
35,"Pozostałe należności (handlowe, inne niż z działalności ubezpieczeniowej)",R0380,45 175
36,Akcje własne (posiadane bezpośrednio),R0390,0
37,"Kwoty należne, dotyczące pozycji środków własnych lub kapitału założycielskiego, do których opłacenia wezwano, ale które nie zostały jeszcze opłacone",R0400,0
38,Środki pieniężne i ekwiwalenty środków pieniężnych,R0410,2 874
39,Pozostałe aktywa (niewykazane w innych pozycjach),R0420,145 090
40,Aktywa ogółem,R0500,11 662 302
41,Rezerwy techniczno–ubezpieczeniowe – ubezpieczenia inne niż ubezpieczenia na życie,R0510,6 563 965
42,Rezerwy techniczno–ubezpieczeniowe – ubezpieczenia inne niż ubezpieczenia na życie (z wyłączeniem zdrowotnych),R0520,6 478 943
43,Rezerwy techniczno–ubezpieczeniowe obliczane łącznie,R0530,0
44,Najlepsze oszacowanie,R0540,6 230 095
45,Margines ryzyka,R0550,248 848
46,Rezerwy techniczno–ubezpieczeniowe – ubezpieczenia zdrowotne (o charakterze ubezpieczeń innych niż ubezpieczenia na życie),R0560,85 022
47,Rezerwy techniczno–ubezpieczeniowe obliczane łącznie,R0570,0
48,Najlepsze oszacowanie,R0580,56 501
49,Margines ryzyka,R0590,28 521
50,"Rezerwy techniczno–ubezpieczeniowe – ubezpieczenia na życie (z wyłączeniem ubezpieczeń, w których świadczenie jest ustalane w oparciu o określone indeksy lub inne wartości bazowe, i ubezpieczeń związanych z ubezpieczeniowym funduszem kapitałowym)",R0600,900 548
51,Rezerwy techniczno–ubezpieczeniowe – ubezpieczenia zdrowotne (o charakterze ubezpieczeń na życie),R0610,0
52,Rezerwy techniczno–ubezpieczeniowe obliczane łącznie,R0620,0
53,Najlepsze oszacowanie,R0630,0
54,Margines ryzyka,R0640,0
55,"Rezerwy techniczno–ubezpieczeniowe – ubezpieczenia na życie (z wyłączeniem zdrowotnych oraz ubezpieczeń, w których świadczenie jest ustalane w oparciu o określone indeksy lub inne wartości bazowe, i ubezpieczeń związanych z ubezpieczeniowym funduszem kapitałowym)",R0650,900 548
56,Rezerwy techniczno–ubezpieczeniowe obliczane łącznie,R0660,0
57,Najlepsze oszacowanie,R0670,839 402
58,Margines ryzyka,R0680,61 146
59,"Rezerwy techniczno–ubezpieczeniowe – ubezpieczenia, w których świadczenie jest ustalane w oparciu o określone indeksy lub inne wartości bazowe, i ubezpieczenia związane z ubezpieczeniowym funduszem kapitałowym",R0690,0
60,Rezerwy techniczno–ubezpieczeniowe obliczane łącznie,R0700,0
61,Najlepsze oszacowanie,R0710,0
62,Margines ryzyka,R0720,0
63,Zobowiązania warunkowe,R0740,0
64,Pozostałe rezerwy (inne niż techniczno–ubezpieczeniowe),R0750,67 103
65,Zobowiązania z tytułu świadczeń emerytalnych dla pracowników,R0760,2 736
66,Zobowiązania z tytułu depozytów zakładów reasekuracji,R0770,0
67,Rezerwy z tytułu odroczonego podatku dochodowego,R0780,376 596
68,Instrumenty pochodne,R0790,0
69,Zobowiązania wobec instytucji kredytowych,R0800,0
70,Zobowiązania finansowe inne niż zobowiązania wobec instytucji kredytowych,R0810,239 087
71,Zobowiązania z tytułu ubezpieczeń i wobec pośredników ubezpieczeniowych,R0820,1 158
72,Zobowiązania z tytułu reasekuracji biernej,R0830,0
73,"Pozostałe zobowiązania (handlowe, inne niż z tytułu działalności ubezpieczeniowej)",R0840,297 368
74,Zobowiązania podporządkowane,R0850,407 895
75,Zobowiązania podporządkowane niewłączone do BOF,R0860,0
76,Zobowiązania podporządkowane włączone do BOF,R0870,407 895
77,Pozostałe zobowiązania (niewykazane w innych pozycjach),R0880,102 874
78,Zobowiązania ogółem,R0900,8 959 331
79,Nadwyżka aktywów nad zobowiązaniami,R1000,2 702 971
