,,,C0010
27,Zdrowotnych o charakterze ubezpieczeń innych niż ubezpieczenia na życie,R0300,4 097
28,"Na życie i zdrowotnych o charakterze ubezpieczeń na życie, z wyłączeniem zdrowotnych oraz ubezpieczeń, w których świadczenie jest ustalane w oparciu o określone indeksy lub inne wartości bazowe, i ubezpieczeń związanych z ubezpieczeniowym funduszem kapitałowym",R0310,162 974
29,Zdrowotnych o charakterze ubezpieczeń na życie,R0320,0
30,"Na życie z wyłączeniem zdrowotnych oraz ubezpieczeń, w których świadczenie jest ustalane w oparciu o określone indeksy lub inne wartości bazowe, i ubezpieczeń związanych z ubezpieczeniowym funduszem kapitałowym",R0330,162 974
31,"Ubezpieczeń na życie, w których świadczenie jest ustalane w oparciu o określone indeksy lub inne wartości bazowe, i ubezpieczeń na życie związanych z ubezpieczeniowym funduszem kapitałowym",R0340,0
32,Depozyty u cedentów,R0350,0
33,Należności z tytułu ubezpieczeń i od pośredników ubezpieczeniowych,R0360,250 790
34,Należności z tytułu reasekuracji biernej,R0370,0
35,"Pozostałe należności (handlowe, inne niż z działalności ubezpieczeniowej)",R0380,49 396
36,Akcje własne (posiadane bezpośrednio),R0390,0
37,"Kwoty należne, dotyczące pozycji środków własnych lub kapitału założycielskiego, do których opłacenia wezwano, ale które nie zostały jeszcze opłacone",R0400,0
38,Środki pieniężne i ekwiwalenty środków pieniężnych,R0410,4 152
39,Pozostałe aktywa (niewykazane w innych pozycjach),R0420,152 196
40,Aktywa ogółem,R0500,10 413 502
41,Rezerwy techniczno–ubezpieczeniowe – ubezpieczenia inne niż ubezpieczenia na życie,R0510,5 942 291
42,Rezerwy techniczno–ubezpieczeniowe – ubezpieczenia inne niż ubezpieczenia na życie (z wyłączeniem zdrowotnych),R0520,5 852 143
43,Rezerwy techniczno–ubezpieczeniowe obliczane łącznie,R0530,0
44,Najlepsze oszacowanie,R0540,5 627 214
45,Margines ryzyka,R0550,224 930
46,Rezerwy techniczno–ubezpieczeniowe – ubezpieczenia zdrowotne (o charakterze ubezpieczeń innych niż ubezpieczenia na życie),R0560,90 148
47,Rezerwy techniczno–ubezpieczeniowe obliczane łącznie,R0570,0
48,Najlepsze oszacowanie,R0580,61 995
49,Margines ryzyka,R0590,28 153
50,"Rezerwy techniczno–ubezpieczeniowe – ubezpieczenia na życie (z wyłączeniem ubezpieczeń, w których świadczenie jest ustalane w oparciu o określone indeksy lub inne wartości bazowe, i ubezpieczeń związanych z ubezpieczeniowym funduszem kapitałowym)",R0600,795 155
51,Rezerwy techniczno–ubezpieczeniowe – ubezpieczenia zdrowotne (o charakterze ubezpieczeń na życie),R0610,0
52,Rezerwy techniczno–ubezpieczeniowe obliczane łącznie,R0620,0
53,Najlepsze oszacowanie,R0630,0
54,Margines ryzyka,R0640,0
55,"Rezerwy techniczno–ubezpieczeniowe – ubezpieczenia na życie (z wyłączeniem zdrowotnych oraz ubezpieczeń, w których świadczenie jest ustalane w oparciu o określone indeksy lub inne wartości bazowe, i ubezpieczeń związanych z ubezpieczeniowym funduszem kapitałowym)",R0650,795 155
56,Rezerwy techniczno–ubezpieczeniowe obliczane łącznie,R0660,0
57,Najlepsze oszacowanie,R0670,736 684
58,Margines ryzyka,R0680,58 471
59,"Rezerwy techniczno–ubezpieczeniowe – ubezpieczenia, w których świadczenie jest ustalane w oparciu o określone indeksy lub inne wartości bazowe, i ubezpieczenia związane z ubezpieczeniowym funduszem kapitałowym",R0690,0
60,Rezerwy techniczno–ubezpieczeniowe obliczane łącznie,R0700,0
61,Najlepsze oszacowanie,R0710,0
62,Margines ryzyka,R0720,0
63,Zobowiązania warunkowe,R0740,0
64,Pozostałe rezerwy (inne niż techniczno–ubezpieczeniowe),R0750,59 829
65,Zobowiązania z tytułu świadczeń emerytalnych dla pracowników,R0760,2 351
66,Zobowiązania z tytułu depozytów zakładów reasekuracji,R0770,0
67,Rezerwy z tytułu odroczonego podatku dochodowego,R0780,363 513
68,Instrumenty pochodne,R0790,0
69,Zobowiązania wobec instytucji kredytowych,R0800,0
70,Zobowiązania finansowe inne niż zobowiązania wobec instytucji kredytowych,R0810,241 742
71,Zobowiązania z tytułu ubezpieczeń i wobec pośredników ubezpieczeniowych,R0820,550
72,Zobowiązania z tytułu reasekuracji biernej,R0830,0
73,"Pozostałe zobowiązania (handlowe, inne niż z tytułu działalności ubezpieczeniowej)",R0840,178 425
74,Zobowiązania podporządkowane,R0850,401 469
75,Zobowiązania podporządkowane niewłączone do BOF,R0860,0
76,Zobowiązania podporządkowane włączone do BOF,R0870,401 469
77,Pozostałe zobowiązania (niewykazane w innych pozycjach),R0880,86 178
78,Zobowiązania ogółem,R0900,8 071 505
79,Nadwyżka aktywów nad zobowiązaniami,R1000,2 341 997
