,,,C0010
27,Zdrowotnych o charakterze ubezpieczeń innych niż ubezpieczenia na życie,R0300,295
28,"Na życie i zdrowotnych o charakterze ubezpieczeń na życie, z wyłączeniem zdrowotnych oraz ubezpieczeń, w których świadczenie jest ustalane w oparciu o określone indeksy lub inne wartości bazowe, i ubezpieczeń z ubezpieczeniowym funduszem kapitałowym",R0310,142 083
29,Zdrowotnych o charakterze ubezpieczeń na życie,R0320,0
30,"Na życie z wyłączeniem zdrowotnych oraz ubezpieczeń, w których świadczenie jest ustalane w oparciu o określone indeksy lub inne wartości bazowe, i ubezpieczeń z ubezpieczeniowym funduszem kapitałowym",R0330,142 083
31,"Ubezpieczeń na życie, w których świadczenie jest ustalane w oparciu o określone indeksy lub inne wartości bazowe, i ubezpieczeń na życie związanych z ubezpieczeniowym funduszem kapitałowym",R0340,0
32,Depozyty u cedentów,R0350,0
33,Należności z tytułu ubezpieczeń i od pośredników ubezpieczeniowych,R0360,358 128
34,Należności z tytułu reasekuracji biernej,R0370,52 581
35,"Pozostałe należności (handlowe, inne niż z działalności ubezpieczeniowej)",R0380,56 933
36,Akcje własne (posiadane bezpośrednio),R0390,0
37,"Kwoty należne w odniesieniu do pozycji środków własnych lub kapitału założycielskiego, do których opłacenia wezwano, ale które nie zostały jeszcze opłacone",R0400,0
38,Środki pieniężne i ich ekwiwalenty,R0410,18 703
39,Pozostałe aktywa (niewykazane w innych pozycjach),R0420,49 115
40,Aktywa ogółem,R0500,12 693 976
41,Rezerwy techniczno–ubezpieczeniowe – ubezpieczenia inne niż ubezpieczenia na życie,R0510,7 462 446
42,Rezerwy techniczno–ubezpieczeniowe – ubezpieczenia inne niż ubezpieczenia na życie (z wyłączeniem zdrowotnych),R0520,7 402 519
43,Rezerwy techniczno–ubezpieczeniowe obliczane łącznie,R0530,0
44,Najlepsze oszacowanie,R0540,7 278 560
45,Margines ryzyka,R0550,123 959
46,Rezerwy techniczno–ubezpieczeniowe – ubezpieczenia zdrowotne (o charakterze ubezpieczeń innych niż ubezpieczenia na życie),R0560,59 927
47,Rezerwy techniczno–ubezpieczeniowe obliczane łącznie,R0570,0
48,Najlepsze oszacowanie,R0580,58 465
49,Margines ryzyka,R0590,1 462
50,"Rezerwy techniczno-ubezpieczeniowe – ubezpieczenia na życie (z wyłączeniem ubezpieczeń, w których świadczenie jest ustalane w oparciu o określone indeksy lub inne wartości bazowe, i ubezpieczeń z ubezpieczeniowym funduszem kapitałowym)",R0600,796 915
51,Rezerwy techniczno–ubezpieczeniowe – ubezpieczenia zdrowotne (o charakterze ubezpieczeń na życie),R0610,0
52,Rezerwy techniczno–ubezpieczeniowe obliczane łącznie,R0620,0
53,Najlepsze oszacowanie,R0630,0
54,Margines ryzyka,R0640,0
55,"Rezerwy techniczno-ubezpieczeniowe – ubezpieczenia na życie (z wyłączeniem zdrowotnych oraz ubezpieczeń, w których świadczenie jest ustalane w oparciu o określone indeksy lub inne wartości bazowe, i ubezpieczeń z ubezpieczeniowym funduszem kapitałowym)",R0650,796 915
56,Rezerwy techniczno–ubezpieczeniowe obliczane łącznie,R0660,0
57,Najlepsze oszacowanie,R0670,770 002
58,Margines ryzyka,R0680,26 912
59,"Rezerwy techniczno–ubezpieczeniowe – ubezpieczenia, w których świadczenie jest ustalane w oparciu o określone indeksy lub inne wartości bazowe, i ubezpieczenia związane z ubezpieczeniowym funduszem kapitałowym",R0690,0
60,Rezerwy techniczno–ubezpieczeniowe obliczane łącznie,R0700,0
61,Najlepsze oszacowanie,R0710,0
62,Margines ryzyka,R0720,0
63,Zobowiązania warunkowe,R0740,0
64,Pozostałe rezerwy (inne niż techniczno–ubezpieczeniowe),R0750,75 419
65,Zobowiązania z tytułu świadczeń emerytalnych dla pracowników,R0760,3 741
66,Zobowiązania z tytułu depozytów zakładów reasekuracji,R0770,0
67,Rezerwy z tytułu odroczonego podatku dochodowego,R0780,433 232
68,Instrumenty pochodne,R0790,0
69,Zobowiązania wobec instytucji kredytowych,R0800,0
70,Zobowiązania finansowe inne niż zobowiązania wobec instytucji kredytowych,R0810,229 025
71,Zobowiązania z tytułu ubezpieczeń i wobec pośredników ubezpieczeniowych,R0820,127 466
72,Zobowiązania z tytułu reasekuracji biernej,R0830,303 564
73,"Pozostałe zobowiązania (handlowe, inne niż z tytułu działalności ubezpieczeniowej)",R0840,262 669
74,Zobowiązania podporządkowane,R0850,217 291
75,Zobowiązania podporządkowane nieuwzględnione w podstawowych środkach własnych,R0860,0
76,Zobowiązania podporządkowane uwzględnione w podstawowych środkach własnych,R0870,217 291
77,Pozostałe zobowiązania (niewykazane w innych pozycjach),R0880,0
78,Zobowiązania ogółem,R0900,9 911 768
79,Nadwyżka aktywów nad zobowiązaniami,R1000,2 782 207
