,,,C0010
70,Instrumenty pochodne,R0790,0
71,Zobowiązania wobec instytucji kredytowych,R0800,0
72,Zobowiązania finansowe inne niż zobowiązania wobec instytucji kredytowych,R0810,10 276
73,Zobowiązania z tytułu ubezpieczeń i wobec pośredników ubezpieczeniowych,R0820,161 354
74,Zobowiązania z tytułu reasekuracji biernej,R0830,20 942
75,"Pozostałe zobowiązania (handlowe, inne niż z tytułu działalności ubezpieczeniowej)",R0840,14 199
76,Zobowiązania podporządkowane,R0850,101 296
77,Zobowiązania podporządkowane nieuwzględnione w podstawowych środkach własnych,R0860,1 608
78,Zobowiązania podporządkowane uwzględnione w podstawowych środkach własnych,R0870,99 688
79,Pozostałe zobowiązania (niewykazane w innych pozycjach),R0880,42 408
80,Zobowiązania ogółem,R0900,3 107 719
81,Nadwyżka aktywów nad zobowiązaniami,R1000,853 073
