Kod_S,Kod_C,Kod_R,Nazwa,Wartosc,rok,firma
S020102,C0010,R0660,Rezerwy techniczno-ubezpieczeniowe obliczane ł(cid:4)cznie,0,2018,Allianz
S020102,C0010,R0670,Najlepsze oszacowanie,80 634,2018,Allianz
S020102,C0010,R0680,Margines ryzyka,46 682,2018,Allianz
S020102,C0010,R0690,"Rezerwy techniczno-ubezpieczeniowe – ubezpieczenia, w których (cid:1)wiadczenie jest ustalane w oparciu o okre(cid:1)lone indeksy lub inne warto(cid:1)ci bazowe i ubezpieczenia z ubezpieczeniowym funduszem kapitałowym",1 594 912,2018,Allianz
S020102,C0010,R0700,Rezerwy techniczno-ubezpieczeniowe obliczane ł(cid:4)cznie,0,2018,Allianz
S020102,C0010,R0710,Najlepsze oszacowanie,1 558 274,2018,Allianz
S020102,C0010,R0720,Margines ryzyka,36 638,2018,Allianz
S020102,C0010,R0740,Zobowi(cid:4)zania warunkowe,0,2018,Allianz
S020102,C0010,R0750,Pozostałe rezerwy (inne ni(cid:2) rezerwy techniczno-ubezpieczeniowe),29 179,2018,Allianz
S020102,C0010,R0760,Zobowi(cid:4)zania z tytułu (cid:1)wiadcze(cid:3) emerytalnych dla pracowników,120,2018,Allianz
S020102,C0010,R0770,Zobowi(cid:4)zania z tytułu depozytów zakładów reasekuracji,0,2018,Allianz
S020102,C0010,R0780,Rezerwy z tytułu odroczonego podatku dochodowego,70 537,2018,Allianz
S020102,C0010,R0790,Instrumenty pochodne,0,2018,Allianz
S020102,C0010,R0800,Zobowi(cid:4)zania wobec instytucji kredytowych,0,2018,Allianz
S020102,C0010,R0810,Zobowi(cid:4)zania finansowe inne ni(cid:2) zobowi(cid:4)zania wobec instytucji kredytowych,0,2018,Allianz
S020102,C0010,R0820,Zobowi(cid:4)zania z tytułu ubezpiecze(cid:3) i wobec po(cid:1)redników ubezpieczeniowych,4 345,2018,Allianz
S020102,C0010,R0830,Zobowi(cid:4)zania z tytułu reasekuracji biernej,0,2018,Allianz
S020102,C0010,R0840,"Pozostałe zobowi(cid:4)zania (handlowe, inne ni(cid:2) z tytułu działalno(cid:1)ci ubezpieczeniowej)",7 045,2018,Allianz
S020102,C0010,R0850,Zobowi(cid:4)zania podporz(cid:4)dkowane,0,2018,Allianz
S020102,C0010,R0860,Zobowi(cid:4)zania podporz(cid:4)dkowane nieuwzgl(cid:5)dnione w podstawowych (cid:1)rodkach własnych,0,2018,Allianz
S020102,C0010,R0870,Zobowi(cid:4)zania podporz(cid:4)dkowane uwzgl(cid:5)dnione w podstawowych (cid:1)rodkach własnych,0,2018,Allianz
S020102,C0010,R0880,Pozostałe zobowi(cid:4)zania (niewykazane w innych pozycjach),511,2018,Allianz
S020102,C0010,R0900,Zobowi(cid:4)zania ogółem,1 833 964,2018,Allianz
S020102,C0010,R1000,Nadwy(cid:5)ka aktywów nad zobowi(cid:4)zaniami,734 954,2018,Allianz
S020102,C0010,R0030,Wartości niematerialne i prawne,0,2019,Allianz
S020102,C0010,R0040,Aktywa z tytułu odroczonego podatku dochodowego,0,2019,Allianz
S020102,C0010,R0050,Nadwyżka na funduszu świadczeń emerytalnych,0,2019,Allianz
S020102,C0010,R0060,"Nieruchomości, maszyny i wyposażenie (Rzeczowe aktywa trwałe) wykorzystywane na użytek własny",7 598,2019,Allianz
S020102,C0010,R0070,"Lokaty (inne niż aktywa dla ubezpieczeń na życie, w których świadczenie jest ustalane w oparciu o określone indeksy lub inne wartości bazowe i dla ubezpieczeń na życie związanych z ubezpieczeniowym funduszem kapitałowym)",886 519,2019,Allianz
S020102,C0010,R0080,Nieruchomości (inne niż do użytku własnego),0,2019,Allianz
S020102,C0010,R0090,"Udziały w jednostkach powiązanych, w tym udziały kapitałowe",0,2019,Allianz
S020102,C0010,R0100,Akcje i udziały,0,2019,Allianz
S020102,C0010,R0110,Akcje i udziały – notowane,0,2019,Allianz
S020102,C0010,R0120,Akcje i udziały – nienotowane,0,2019,Allianz
S020102,C0010,R0130,Dłużne papiery wartościowe,758 905,2019,Allianz
S020102,C0010,R0140,Obligacje państwowe,758 905,2019,Allianz
S020102,C0010,R0150,Obligacje korporacyjne,0,2019,Allianz
S020102,C0010,R0160,Strukturyzowane papiery wartościowe,0,2019,Allianz
S020102,C0010,R0170,Zabezpieczone papiery wartościowe,0,2019,Allianz
S020102,C0010,R0180,Jednostki uczestnictwa oraz certyfikaty inwestycyjne w przedsiębiorstwach zbiorowego inwestowania,82 162,2019,Allianz
S020102,C0010,R0190,Instrumenty pochodne,0,2019,Allianz
S020102,C0010,R0200,Depozyty inne niż ekwiwalenty środków pieniężnych,45 452,2019,Allianz
S020102,C0010,R0210,Pozostałe lokaty,0,2019,Allianz
S020102,C0010,R0220,"Aktywa dla ubezpieczeń na życie, w których świadczenie jest ustalane w oparciu o określone indeksy lub inne wartości bazowe i ubezpieczeń na życie związanych z ubezpieczeniowym funduszem kapitałowym",1 659 144,2019,Allianz
S020102,C0010,R0230,Pożyczki i pożyczki zabezpieczone hipotecznie,0,2019,Allianz
S020102,C0010,R0240,Pożyczki pod zastaw polisy,0,2019,Allianz
S020102,C0010,R0250,Pożyczki i pożyczki zabezpieczone hipotecznie dla osób fizycznych,0,2019,Allianz
S020102,C0010,R0260,Pozostałe pożyczki i pożyczki zabezpieczone hipotecznie,0,2019,Allianz
S020102,C0010,R0270,Kwoty należne z umów reasekuracji dla zobowiązań wynikających z:,-12 463,2019,Allianz
S020102,C0010,R0280,Ubezpieczenia inne niż ubezpieczenia na życie i ubezpieczenia zdrowotne o charakterze ubezpieczeń innych niż ubezpieczenia na życie,0,2019,Allianz
S020102,C0010,R0290,Ubezpieczeń innych niż ubezpieczenia na życie (z wyłączeniem zdrowotnych),0,2019,Allianz
S020102,C0010,R0300,Ubezpieczenia zdrowotne o charakterze ubezpieczeń innych niż ubezpieczenia na życie,0,2019,Allianz
S020102,C0010,R0310,"Ubezpieczenia na życie i ubezpieczenia zdrowotne o charakterze ubezpieczeń na życie, z wyłączeniem ubezpieczeń zdrowotnych oraz ubezpieczeń, w których świadczenie jest ustalane w oparciu o określone",-10 999,2019,Allianz
S020102,C0010,R0320,Ubezpieczenia zdrowotne o charakterze ubezpieczeń na życie,0,2019,Allianz
S020102,C0010,R0330,"Ubezpieczenia na życie z wyłączeniem ubezpieczeń zdrowotnych oraz ubezpieczeń, w których świadczenie jest ustalane w oparciu o określone indeksy lub inne wartości bazowe i ubezpieczeń z ubezpieczeniowym funduszem kapitałowym",-10 999,2019,Allianz
S020102,C0010,R0340,"Ubezpieczenia na życie, w których świadczenie jest ustalane w oparciu o określone indeksy lub inne wartości bazowe, i ubezpieczenia na życie z ubezpieczeniowym funduszem kapitałowym",-1 464,2019,Allianz
S020102,C0010,R0350,Depozyty u cedentów,0,2019,Allianz
S020102,C0010,R0360,Należności z tytułu ubezpieczeń i od pośredników ubezpieczeniowych,6 109,2019,Allianz
S020102,C0010,R0370,Należności z tytułu reasekuracji biernej,0,2019,Allianz
S020102,C0010,R0380,"Pozostałe należności (handlowe, inne niż z działalności ubezpieczeniowej)",12 775,2019,Allianz
S020102,C0010,R0390,Akcje własne (posiadane bezpośrednio),0,2019,Allianz
S020102,C0010,R0400,"Kwoty należne, dotyczące pozycji środków własnych lub kapitału założycielskiego, do których opłacenia wezwano, ale które nie zostały jeszcze opłacone",0,2019,Allianz
S020102,C0010,R0410,Środki pieniężne i ekwiwalenty środków pieniężnych,1 268,2019,Allianz
S020102,C0010,R0420,Pozostałe aktywa (niewykazane w innych pozycjach),2 209,2019,Allianz
S020102,C0010,R0500,Aktywa ogółem,2 563 159,2019,Allianz
S020102,C0010,R0510,Rezerwy techniczno-ubezpieczeniowe – ubezpieczenia inne niż ubezpieczenia na życie,0,2019,Allianz
S020102,C0010,R0520,Rezerwy techniczno-ubezpieczeniowe – ubezpieczenia inne niż ubezpieczenia na życie (z wyłączeniem zdrowotnych),0,2019,Allianz
S020102,C0010,R0530,Rezerwy techniczno-ubezpieczeniowe obliczane łącznie,0,2019,Allianz
S020102,C0010,R0540,Najlepsze oszacowanie,0,2019,Allianz
S020102,C0010,R0550,Margines ryzyka,0,2019,Allianz
S020102,C0010,R0560,Rezerwy techniczno-ubezpieczeniowe – ubezpieczenia zdrowotne (o charakterze ubezpieczeń innych niż ubezpieczenia na życie),0,2019,Allianz
S020102,C0010,R0570,Rezerwy techniczno-ubezpieczeniowe obliczane łącznie,0,2019,Allianz
S020102,C0010,R0580,Najlepsze oszacowanie,0,2019,Allianz
S020102,C0010,R0590,Margines ryzyka,0,2019,Allianz
S020102,C0010,R0600,"Rezerwy techniczno-ubezpieczeniowe – ubezpieczenia na życie (z wyłączeniem ubezpieczeń, w których świadczenie jest ustalane w oparciu o określone indeksy lub inne wartości bazowe i ubezpieczeń z ubezpieczeniowym funduszem kapitałowym)",119 524,2019,Allianz
S020102,C0010,R0610,Rezerwy techniczno-ubezpieczeniowe – ubezpieczenia zdrowotne (o charakterze ubezpieczeń na życie),0,2019,Allianz
S020102,C0010,R0620,Rezerwy techniczno-ubezpieczeniowe obliczane łącznie,0,2019,Allianz
S020102,C0010,R0630,Najlepsze oszacowanie,0,2019,Allianz
S020102,C0010,R0640,Margines ryzyka,0,2019,Allianz
S020102,C0010,R0650,"Rezerwy techniczno-ubezpieczeniowe – ubezpieczenia na życie (z wyłączeniem zdrowotnych oraz ubezpieczeń, w których świadczenie jest ustalane w oparciu o określone indeksy lub inne wartości bazowe i ubezpieczeń z ubezpieczeniowym funduszem kapitałowym)",119 524,2019,Allianz
S020102,C0010,R0660,Rezerwy techniczno-ubezpieczeniowe obliczane łącznie,0,2019,Allianz
S020102,C0010,R0670,Najlepsze oszacowanie,67 502,2019,Allianz
S020102,C0010,R0680,Margines ryzyka,52 022,2019,Allianz
S020102,C0010,R0690,"Rezerwy techniczno-ubezpieczeniowe – ubezpieczenia, w których świadczenie jest ustalane w oparciu o określone indeksy lub inne wartości bazowe i ubezpieczenia z ubezpieczeniowym funduszem kapitałowym",1 535 425,2019,Allianz
S020102,C0010,R0700,Rezerwy techniczno-ubezpieczeniowe obliczane łącznie,0,2019,Allianz
S020102,C0010,R0710,Najlepsze oszacowanie,1 497 322,2019,Allianz
S020102,C0010,R0720,Margines ryzyka,38 103,2019,Allianz
S020102,C0010,R0740,Zobowiązania warunkowe,0,2019,Allianz
S020102,C0010,R0750,Pozostałe rezerwy (inne niż rezerwy techniczno-ubezpieczeniowe),29 188,2019,Allianz
S020102,C0010,R0760,Zobowiązania z tytułu świadczeń emerytalnych dla pracowników,125,2019,Allianz
S020102,C0010,R0770,Zobowiązania z tytułu depozytów zakładów reasekuracji,0,2019,Allianz
S020102,C0010,R0780,Rezerwy z tytułu odroczonego podatku dochodowego,89 532,2019,Allianz
S020102,C0010,R0790,Instrumenty pochodne,0,2019,Allianz
S020102,C0010,R0800,Zobowiązania wobec instytucji kredytowych,0,2019,Allianz
S020102,C0010,R0810,Zobowiązania finansowe inne niż zobowiązania wobec instytucji kredytowych,6 004,2019,Allianz
S020102,C0010,R0820,Zobowiązania z tytułu ubezpieczeń i wobec pośredników ubezpieczeniowych,6 239,2019,Allianz
S020102,C0010,R0830,Zobowiązania z tytułu reasekuracji biernej,0,2019,Allianz
S020102,C0010,R0840,"Pozostałe zobowiązania (handlowe, inne niż z tytułu działalności ubezpieczeniowej)",4 588,2019,Allianz
S020102,C0010,R0850,Zobowiązania podporządkowane,0,2019,Allianz
S020102,C0010,R0860,Zobowiązania podporządkowane nieuwzględnione w podstawowych środkach własnych,0,2019,Allianz
S020102,C0010,R0870,Zobowiązania podporządkowane uwzględnione w podstawowych środkach własnych,0,2019,Allianz
S020102,C0010,R0880,Pozostałe zobowiązania (niewykazane w innych pozycjach),0,2019,Allianz
S020102,C0010,R0900,Zobowiązania ogółem,1 790 625,2019,Allianz
S020102,C0010,R1000,Nadwyżka aktywów nad zobowiązaniami,772 534,2019,Allianz
S020102,C0010,R0030,Wartości niematerialne i prawne,0,2020,Allianz
S020102,C0010,R0040,Aktywa z tytułu odroczonego podatku dochodowego,0,2020,Allianz
S020102,C0010,R0050,Nadwyżka na funduszu świadczeń emerytalnych,0,2020,Allianz
S020102,C0010,R0060,"Nieruchomości, maszyny i wyposażenie (Rzeczowe aktywa trwałe) wykorzystywane na użytek własny",8 368,2020,Allianz
S020102,C0010,R0070,"Lokaty (inne niż aktywa dla ubezpieczeń na życie, w których świadczenie jest ustalane w oparciu o określone indeksy lub inne wartości bazowe i dla ubezpieczeń na życie związanych z ubezpieczeniowym funduszem kapitałowym)",1 001 967,2020,Allianz
S020102,C0010,R0080,Nieruchomości (inne niż do użytku własnego),0,2020,Allianz
S020102,C0010,R0090,"Udziały w jednostkach powiązanych, w tym udziały kapitałowe",0,2020,Allianz
S020102,C0010,R0100,Akcje i udziały,0,2020,Allianz
S020102,C0010,R0110,Akcje i udziały – notowane,0,2020,Allianz
S020102,C0010,R0120,Akcje i udziały – nienotowane,0,2020,Allianz
S020102,C0010,R0130,Dłużne papiery wartościowe,875 297,2020,Allianz
S020102,C0010,R0140,Obligacje państwowe,875 297,2020,Allianz
S020102,C0010,R0150,Obligacje korporacyjne,0,2020,Allianz
S020102,C0010,R0160,Strukturyzowane papiery wartościowe,0,2020,Allianz
S020102,C0010,R0170,Zabezpieczone papiery wartościowe,0,2020,Allianz
S020102,C0010,R0180,Jednostki uczestnictwa oraz certyfikaty inwestycyjne w przedsiębiorstwach zbiorowego inwestowania,82 702,2020,Allianz
S020102,C0010,R0190,Instrumenty pochodne,900,2020,Allianz
S020102,C0010,R0200,Depozyty inne niż ekwiwalenty środków pieniężnych,43 068,2020,Allianz
S020102,C0010,R0210,Pozostałe lokaty,0,2020,Allianz
S020102,C0010,R0220,"Aktywa dla ubezpieczeń na życie, w których świadczenie jest ustalane w oparciu o określone indeksy lub inne wartości bazowe i ubezpieczeń na życie związanych z ubezpieczeniowym funduszem kapitałowym",1 742 697,2020,Allianz
S020102,C0010,R0230,Pożyczki i pożyczki zabezpieczone hipotecznie,0,2020,Allianz
S020102,C0010,R0240,Pożyczki pod zastaw polisy,0,2020,Allianz
S020102,C0010,R0250,Pożyczki i pożyczki zabezpieczone hipotecznie dla osób fizycznych,0,2020,Allianz
S020102,C0010,R0260,Pozostałe pożyczki i pożyczki zabezpieczone hipotecznie,0,2020,Allianz
S020102,C0010,R0270,Kwoty należne z umów reasekuracji dla zobowiązań wynikających z:,-8 879,2020,Allianz
S020102,C0010,R0280,Ubezpieczenia inne niż ubezpieczenia na życie i ubezpieczenia zdrowotne o charakterze ubezpieczeń innych niż ubezpieczenia na życie,0,2020,Allianz
S020102,C0010,R0290,Ubezpieczeń innych niż ubezpieczenia na życie (z wyłączeniem zdrowotnych),0,2020,Allianz
S020102,C0010,R0300,Ubezpieczenia zdrowotne o charakterze ubezpieczeń innych niż ubezpieczenia na życie,0,2020,Allianz
S020102,C0010,R0310,"Ubezpieczenia na życie i ubezpieczenia zdrowotne o charakterze ubezpieczeń na życie, z wyłączeniem ubezpieczeń zdrowotnych oraz ubezpieczeń, w których świadczenie jest ustalane w oparciu o określone",-7 263,2020,Allianz
S020102,C0010,R0320,Ubezpieczenia zdrowotne o charakterze ubezpieczeń na życie,0,2020,Allianz
S020102,C0010,R0330,"Ubezpieczenia na życie z wyłączeniem ubezpieczeń zdrowotnych oraz ubezpieczeń, w których świadczenie jest ustalane w oparciu o określone indeksy lub inne wartości bazowe i ubezpieczeń z ubezpieczeniowym funduszem kapitałowym",-7 263,2020,Allianz
S020102,C0010,R0340,"Ubezpieczenia na życie, w których świadczenie jest ustalane w oparciu o określone indeksy lub inne wartości bazowe, i ubezpieczenia na życie z ubezpieczeniowym funduszem kapitałowym",-1 616,2020,Allianz
S020102,C0010,R0350,Depozyty u cedentów,0,2020,Allianz
S020102,C0010,R0360,Należności z tytułu ubezpieczeń i od pośredników ubezpieczeniowych,16 830,2020,Allianz
S020102,C0010,R0370,Należności z tytułu reasekuracji biernej,0,2020,Allianz
S020102,C0010,R0380,"Pozostałe należności (handlowe, inne niż z działalności ubezpieczeniowej)",35 454,2020,Allianz
S020102,C0010,R0390,Akcje własne (posiadane bezpośrednio),0,2020,Allianz
S020102,C0010,R0400,"Kwoty należne, dotyczące pozycji środków własnych lub kapitału założycielskiego, do których opłacenia wezwano, ale które nie zostały jeszcze opłacone",0,2020,Allianz
S020102,C0010,R0410,Środki pieniężne i ekwiwalenty środków pieniężnych,1 177,2020,Allianz
S020102,C0010,R0420,Pozostałe aktywa (niewykazane w innych pozycjach),4 488,2020,Allianz
S020102,C0010,R0500,Aktywa ogółem,2 802 102,2020,Allianz
S020102,C0010,R0510,Rezerwy techniczno-ubezpieczeniowe – ubezpieczenia inne niż ubezpieczenia na życie,0,2020,Allianz
S020102,C0010,R0520,Rezerwy techniczno-ubezpieczeniowe – ubezpieczenia inne niż ubezpieczenia na życie (z wyłączeniem zdrowotnych),0,2020,Allianz
S020102,C0010,R0530,Rezerwy techniczno-ubezpieczeniowe obliczane łącznie,0,2020,Allianz
S020102,C0010,R0540,Najlepsze oszacowanie,0,2020,Allianz
S020102,C0010,R0550,Margines ryzyka,0,2020,Allianz
S020102,C0010,R0560,Rezerwy techniczno-ubezpieczeniowe – ubezpieczenia zdrowotne (o charakterze ubezpieczeń innych niż ubezpieczenia na życie),0,2020,Allianz
S020102,C0010,R0570,Rezerwy techniczno-ubezpieczeniowe obliczane łącznie,0,2020,Allianz
S020102,C0010,R0580,Najlepsze oszacowanie,0,2020,Allianz
S020102,C0010,R0590,Margines ryzyka,0,2020,Allianz
S020102,C0010,R0600,"Rezerwy techniczno-ubezpieczeniowe – ubezpieczenia na życie (z wyłączeniem ubezpieczeń, w których świadczenie jest ustalane w oparciu o określone indeksy lub inne wartości bazowe i ubezpieczeń z ubezpieczeniowym funduszem kapitałowym)",129 746,2020,Allianz
S020102,C0010,R0610,Rezerwy techniczno-ubezpieczeniowe – ubezpieczenia zdrowotne (o charakterze ubezpieczeń na życie),0,2020,Allianz
S020102,C0010,R0620,Rezerwy techniczno-ubezpieczeniowe obliczane łącznie,0,2020,Allianz
S020102,C0010,R0630,Najlepsze oszacowanie,0,2020,Allianz
S020102,C0010,R0640,Margines ryzyka,0,2020,Allianz
S020102,C0010,R0650,"Rezerwy techniczno-ubezpieczeniowe – ubezpieczenia na życie (z wyłączeniem zdrowotnych oraz ubezpieczeń, w których świadczenie jest ustalane w oparciu o określone indeksy lub inne wartości bazowe i ubezpieczeń z ubezpieczeniowym funduszem kapitałowym)",129 746,2020,Allianz
S020102,C0010,R0660,Rezerwy techniczno-ubezpieczeniowe obliczane łącznie,0,2020,Allianz
S020102,C0010,R0670,Najlepsze oszacowanie,75 177,2020,Allianz
S020102,C0010,R0680,Margines ryzyka,54 569,2020,Allianz
S020102,C0010,R0690,"Rezerwy techniczno-ubezpieczeniowe – ubezpieczenia, w których świadczenie jest ustalane w oparciu o określone indeksy lub inne wartości bazowe i ubezpieczenia z ubezpieczeniowym funduszem kapitałowym",1 623 892,2020,Allianz
S020102,C0010,R0700,Rezerwy techniczno-ubezpieczeniowe obliczane łącznie,0,2020,Allianz
S020102,C0010,R0710,Najlepsze oszacowanie,1 581 267,2020,Allianz
S020102,C0010,R0720,Margines ryzyka,42 625,2020,Allianz
S020102,C0010,R0740,Zobowiązania warunkowe,0,2020,Allianz
