Firma,Rok,Kod_S,Kod_C,Kod_R,Nazwa,Wartosc
Allianz,2022,S.02.01.02,C0010,R0220,"Aktywa dla ubezpieczeń na życie, w których świadczenie jest ustalane w oparciu o określone indeksy lub inne wartości bazowe i ubezpieczeń na życie związanych z ubezpieczeniowym funduszem kapitałowym",9 831 688
Allianz,2022,S.02.01.02,C0010,R0230,Pożyczki i pożyczki zabezpieczone hipotecznie,236 641
Allianz,2022,S.02.01.02,C0010,R0240,Pożyczki pod zastaw polisy,0
Allianz,2022,S.02.01.02,C0010,R0250,Pożyczki i pożyczki zabezpieczone hipotecznie dla osób fizycznych,0
Allianz,2022,S.02.01.02,C0010,R0260,Pozostałe pożyczki i pożyczki zabezpieczone hipotecznie,236 641
Allianz,2022,S.02.01.02,C0010,R0270,Kwoty należne z umów reasekuracji dla zobowiązań wynikających z:,-34 140
Allianz,2022,S.02.01.02,C0010,R0280,Ubezpieczenia inne niż ubezpieczenia na życie i ubezpieczenia zdrowotne o charakterze ubezpieczeń innych niż ubezpieczenia na życie,1 122
Allianz,2022,S.02.01.02,C0010,R0290,Ubezpieczeń innych niż ubezpieczenia na życie (z wyłączeniem zdrowotnych),0
Allianz,2022,S.02.01.02,C0010,R0300,Ubezpieczenia zdrowotne o charakterze ubezpieczeń innych niż ubezpieczenia na życie,1 122
Allianz,2022,S.02.01.02,C0010,R0310,"Ubezpieczenia na życie i ubezpieczenia zdrowotne o charakterze ubezpieczeń na życie, z wyłączeniem ubezpieczeń zdrowotnych oraz ubezpieczeń, w których świadczenie jest ustalane w oparciu o określone",-27 876
Allianz,2022,S.02.01.02,C0010,R0320,Ubezpieczenia zdrowotne o charakterze ubezpieczeń na życie,-11 802
Allianz,2022,S.02.01.02,C0010,R0330,"Ubezpieczenia na życie z wyłączeniem ubezpieczeń zdrowotnych oraz ubezpieczeń, w których świadczenie jest ustalane w oparciu o określone indeksy lub inne wartości bazowe i ubezpieczeń z ubezpieczeniowym funduszem kapitałowym",-16 074
Allianz,2022,S.02.01.02,C0010,R0340,"Ubezpieczenia na życie, w których świadczenie jest ustalane w oparciu o określone indeksy lub inne wartości bazowe, i ubezpieczenia na życie z ubezpieczeniowym funduszem kapitałowym",-7 386
Allianz,2022,S.02.01.02,C0010,R0350,Depozyty u cedentów,0
Allianz,2022,S.02.01.02,C0010,R0360,Należności z tytułu ubezpieczeń i od pośredników ubezpieczeniowych,41 013
Allianz,2022,S.02.01.02,C0010,R0370,Należności z tytułu reasekuracji biernej,1 722
Allianz,2022,S.02.01.02,C0010,R0380,"Pozostałe należności (handlowe, inne niż z działalności ubezpieczeniowej)",124 088
Allianz,2022,S.02.01.02,C0010,R0390,Akcje własne (posiadane bezpośrednio),0
Allianz,2022,S.02.01.02,C0010,R0400,"Kwoty należne, dotyczące pozycji środków własnych lub kapitału założycielskiego, do których opłacenia wezwano, ale które nie zostały jeszcze opłacone",0
Allianz,2022,S.02.01.02,C0010,R0410,Środki pieniężne i ekwiwalenty środków pieniężnych,280 375
Allianz,2022,S.02.01.02,C0010,R0420,Pozostałe aktywa (niewykazane w innych pozycjach),5 208
Allianz,2022,S.02.01.02,C0010,R0500,Aktywa ogółem,16 349 199
Allianz,2022,S.02.01.02,C0010,R0510,Rezerwy techniczno-ubezpieczeniowe – ubezpieczenia inne niż ubezpieczenia na życie,75 622
Allianz,2022,S.02.01.02,C0010,R0520,Rezerwy techniczno-ubezpieczeniowe – ubezpieczenia inne niż ubezpieczenia na życie (z wyłączeniem zdrowotnych),0
Allianz,2022,S.02.01.02,C0010,R0530,Rezerwy techniczno-ubezpieczeniowe obliczane łącznie,0
Allianz,2022,S.02.01.02,C0010,R0540,Najlepsze oszacowanie,0
Allianz,2022,S.02.01.02,C0010,R0550,Margines ryzyka,0
Allianz,2022,S.02.01.02,C0010,R0560,Rezerwy techniczno-ubezpieczeniowe – ubezpieczenia zdrowotne (o charakterze ubezpieczeń innych niż ubezpieczenia na życie),75 622
Allianz,2022,S.02.01.02,C0010,R0570,Rezerwy techniczno-ubezpieczeniowe obliczane łącznie,0
Allianz,2022,S.02.01.02,C0010,R0580,Najlepsze oszacowanie,70 708
Allianz,2022,S.02.01.02,C0010,R0590,Margines ryzyka,4 914
Allianz,2022,S.02.01.02,C0010,R0600,"Rezerwy techniczno-ubezpieczeniowe – ubezpieczenia na życie (z wyłączeniem ubezpieczeń, w których świadczenie jest ustalane w oparciu o określone indeksy lub inne wartości bazowe i ubezpieczeń z ubezpieczeniowym funduszem kapitałowym)",1 497 978
Allianz,2022,S.02.01.02,C0010,R0610,Rezerwy techniczno-ubezpieczeniowe – ubezpieczenia zdrowotne (o charakterze ubezpieczeń na życie),-760 714
Allianz,2022,S.02.01.02,C0010,R0620,Rezerwy techniczno-ubezpieczeniowe obliczane łącznie,0
Allianz,2022,S.02.01.02,C0010,R0630,Najlepsze oszacowanie,-919 139
Allianz,2022,S.02.01.02,C0010,R0640,Margines ryzyka,158 425
Allianz,2022,S.02.01.02,C0010,R0650,"Rezerwy techniczno-ubezpieczeniowe – ubezpieczenia na życie (z wyłączeniem zdrowotnych oraz ubezpieczeń, w których świadczenie jest ustalane w oparciu o określone indeksy lub inne wartości bazowe i ubezpieczeń z ubezpieczeniowym funduszem kapitałowym)",2 258 692
Allianz,2022,S.02.01.02,C0010,R0660,Rezerwy techniczno-ubezpieczeniowe obliczane łącznie,0
Allianz,2022,S.02.01.02,C0010,R0670,Najlepsze oszacowanie,2 059 490
Allianz,2022,S.02.01.02,C0010,R0680,Margines ryzyka,199 203
Allianz,2022,S.02.01.02,C0010,R0690,"Rezerwy techniczno-ubezpieczeniowe – ubezpieczenia, w których świadczenie jest ustalane w oparciu o określone indeksy lub inne wartości bazowe i ubezpieczenia z ubezpieczeniowym funduszem kapitałowym",8 199 521
Allianz,2022,S.02.01.02,C0010,R0700,Rezerwy techniczno-ubezpieczeniowe obliczane łącznie,0
Allianz,2022,S.02.01.02,C0010,R0710,Najlepsze oszacowanie,7 858 158
Allianz,2022,S.02.01.02,C0010,R0720,Margines ryzyka,341 364
Allianz,2022,S.02.01.02,C0010,R0730,Pozostałe rezerwy techniczno-ubezpieczeniowe,0
Allianz,2022,S.02.01.02,C0010,R0740,Zobowiązania warunkowe,0
Allianz,2022,S.02.01.02,C0010,R0750,Pozostałe rezerwy (inne niż rezerwy techniczno-ubezpieczeniowe),119 443
Allianz,2022,S.02.01.02,C0010,R0760,Zobowiązania z tytułu świadczeń emerytalnych dla pracowników,14 875
Allianz,2022,S.02.01.02,C0010,R0770,Zobowiązania z tytułu depozytów zakładów reasekuracji,0
Allianz,2022,S.02.01.02,C0010,R0780,Rezerwy z tytułu odroczonego podatku dochodowego,745 967
Allianz,2022,S.02.01.02,C0010,R0790,Instrumenty pochodne,20 071
Allianz,2022,S.02.01.02,C0010,R0800,Zobowiązania wobec instytucji kredytowych,0
Allianz,2022,S.02.01.02,C0010,R0810,Zobowiązania finansowe inne niż zobowiązania wobec instytucji kredytowych,10 700
Allianz,2022,S.02.01.02,C0010,R0820,Zobowiązania z tytułu ubezpieczeń i wobec pośredników ubezpieczeniowych,66 121
Allianz,2022,S.02.01.02,C0010,R0830,Zobowiązania z tytułu reasekuracji biernej,6 923
Allianz,2022,S.02.01.02,C0010,R0840,"Pozostałe zobowiązania (handlowe, inne niż z tytułu działalności ubezpieczeniowej)",418 253
Allianz,2022,S.02.01.02,C0010,R0850,Zobowiązania podporządkowane,0
Allianz,2022,S.02.01.02,C0010,R0860,Zobowiązania podporządkowane nieuwzględnione w podstawowych środkach własnych,0
Allianz,2022,S.02.01.02,C0010,R0870,Zobowiązania podporządkowane uwzględnione w podstawowych środkach własnych,0
Allianz,2022,S.02.01.02,C0010,R0880,Pozostałe zobowiązania (niewykazane w innych pozycjach),48 287
Allianz,2022,S.02.01.02,C0010,R0900,Zobowiązania ogółem,11 223 761
Allianz,2022,S.02.01.02,C0010,R1000,Nadwyżka aktywów nad zobowiązaniami,5 125 437
