Firma,Rok,Kod_S,Kod_C,Kod_R,Nazwa,Wartosc
Allianz,2020,S.02.01.02,C0010,R0560,Rezerwy techniczno-ubezpieczeniowe – ubezpieczenia zdrowotne (o charakterze ubezpieczeń innych niż ubezpieczenia na życie),0
Allianz,2020,S.02.01.02,C0010,R0570,Rezerwy techniczno-ubezpieczeniowe obliczane łącznie,0
Allianz,2020,S.02.01.02,C0010,R0580,Najlepsze oszacowanie,0
Allianz,2020,S.02.01.02,C0010,R0590,Margines ryzyka,0
Allianz,2020,S.02.01.02,C0010,R0600,"Rezerwy techniczno-ubezpieczeniowe – ubezpieczenia na życie (z wyłączeniem ubezpieczeń, w których świadczenie jest ustalane w oparciu o określone indeksy lub inne wartości bazowe i ubezpieczeń z ubezpieczeniowym funduszem kapitałowym)",129 746
Allianz,2020,S.02.01.02,C0010,R0610,Rezerwy techniczno-ubezpieczeniowe – ubezpieczenia zdrowotne (o charakterze ubezpieczeń na życie),0
Allianz,2020,S.02.01.02,C0010,R0620,Rezerwy techniczno-ubezpieczeniowe obliczane łącznie,0
Allianz,2020,S.02.01.02,C0010,R0630,Najlepsze oszacowanie,0
Allianz,2020,S.02.01.02,C0010,R0640,Margines ryzyka,0
Allianz,2020,S.02.01.02,C0010,R0650,"Rezerwy techniczno-ubezpieczeniowe – ubezpieczenia na życie (z wyłączeniem zdrowotnych oraz ubezpieczeń, w których świadczenie jest ustalane w oparciu o określone indeksy lub inne wartości bazowe i ubezpieczeń z ubezpieczeniowym funduszem kapitałowym)",129 746
Allianz,2020,S.02.01.02,C0010,R0660,Rezerwy techniczno-ubezpieczeniowe obliczane łącznie,0
Allianz,2020,S.02.01.02,C0010,R0670,Najlepsze oszacowanie,75 177
Allianz,2020,S.02.01.02,C0010,R0680,Margines ryzyka,54 569
Allianz,2020,S.02.01.02,C0010,R0690,"Rezerwy techniczno-ubezpieczeniowe – ubezpieczenia, w których świadczenie jest ustalane w oparciu o określone indeksy lub inne wartości bazowe i ubezpieczenia z ubezpieczeniowym funduszem kapitałowym",1 623 892
Allianz,2020,S.02.01.02,C0010,R0700,Rezerwy techniczno-ubezpieczeniowe obliczane łącznie,0
Allianz,2020,S.02.01.02,C0010,R0710,Najlepsze oszacowanie,1 581 267
Allianz,2020,S.02.01.02,C0010,R0720,Margines ryzyka,42 625
Allianz,2020,S.02.01.02,C0010,R0740,Zobowiązania warunkowe,0
Allianz,2020,S.02.01.02,C0010,R0750,Pozostałe rezerwy (inne niż rezerwy techniczno-ubezpieczeniowe),28 120
Allianz,2020,S.02.01.02,C0010,R0760,Zobowiązania z tytułu świadczeń emerytalnych dla pracowników,751
Allianz,2020,S.02.01.02,C0010,R0770,Zobowiązania z tytułu depozytów zakładów reasekuracji,0
Allianz,2020,S.02.01.02,C0010,R0780,Rezerwy z tytułu odroczonego podatku dochodowego,116 820
Allianz,2020,S.02.01.02,C0010,R0790,Instrumenty pochodne,0
Allianz,2020,S.02.01.02,C0010,R0800,Zobowiązania wobec instytucji kredytowych,0
Allianz,2020,S.02.01.02,C0010,R0810,Zobowiązania finansowe inne niż zobowiązania wobec instytucji kredytowych,5 331
Allianz,2020,S.02.01.02,C0010,R0820,Zobowiązania z tytułu ubezpieczeń i wobec pośredników ubezpieczeniowych,14 334
Allianz,2020,S.02.01.02,C0010,R0830,Zobowiązania z tytułu reasekuracji biernej,0
Allianz,2020,S.02.01.02,C0010,R0840,"Pozostałe zobowiązania (handlowe, inne niż z tytułu działalności ubezpieczeniowej)",8 650
Allianz,2020,S.02.01.02,C0010,R0850,Zobowiązania podporządkowane,0
Allianz,2020,S.02.01.02,C0010,R0860,Zobowiązania podporządkowane nieuwzględnione w podstawowych środkach własnych,0
Allianz,2020,S.02.01.02,C0010,R0870,Zobowiązania podporządkowane uwzględnione w podstawowych środkach własnych,0
Allianz,2020,S.02.01.02,C0010,R0880,Pozostałe zobowiązania (niewykazane w innych pozycjach),0
Allianz,2020,S.02.01.02,C0010,R0900,Zobowiązania ogółem,1 927 644
Allianz,2020,S.02.01.02,C0010,R1000,Nadwyżka aktywów nad zobowiązaniami,874 458
