Firma,Rok,Kod_S,Kod_C,Kod_R,Nazwa,Wartosc
Allianz,2023,S.02.01.02,C0010,R0330,"Na życie z wyłączeniem zdrowotnych oraz ubezpieczeń, w których świadczenie jest ustalane w oparciu o określone indeksy lub inne wartości bazowe, i ubezpieczeń z ubezpieczeniowym funduszem kapitałowym",-5 216
Allianz,2023,S.02.01.02,C0010,R0340,"Ubezpieczeń na życie, w których świadczenie jest ustalane w oparciu o określone indeksy lub inne wartości bazowe, i ubezpieczeń na życie związanych z ubezpieczeniowym funduszem kapitałowym",-7 462
Allianz,2023,S.02.01.02,C0010,R0350,Depozyty u cedentów,0
Allianz,2023,S.02.01.02,C0010,R0360,Należności z tytułu ubezpieczeń i od pośredników ubezpieczeniowych,64 798
Allianz,2023,S.02.01.02,C0010,R0370,Należności z tytułu reasekuracji biernej,21 475
Allianz,2023,S.02.01.02,C0010,R0380,"Pozostałe należności (handlowe, inne niż z tytułu działalności ubezpieczeniowej)",234 748
Allianz,2023,S.02.01.02,C0010,R0390,Akcje własne (posiadane bezpośrednio),0
Allianz,2023,S.02.01.02,C0010,R0400,"Kwoty należne w odniesieniu do pozycji środków własnych lub kapitału założycielskiego, do których opłacenia wezwano, ale które nie zostały jeszcze opłacone.",0
Allianz,2023,S.02.01.02,C0010,R0410,Środki pieniężne i ich ekwiwalenty,109 684
Allianz,2023,S.02.01.02,C0010,R0420,Pozostałe aktywa (niewykazane w innych pozycjach),0
Allianz,2023,S.02.01.02,C0010,R0500,Aktywa ogółem,18 171 269
Allianz,2023,S.02.01.02,C0010,R0510,Rezerwy techniczno-ubezpieczeniowe – ubezpieczenia inne niż ubezpieczenia na życie,88 112
Allianz,2023,S.02.01.02,C0010,R0520,Rezerwy techniczno-ubezpieczeniowe – ubezpieczenia inne niż ubezpieczenia na życie (z wyłączeniem zdrowotnych),0
Allianz,2023,S.02.01.02,C0010,R0530,Rezerwy techniczno-ubezpieczeniowe obliczane łącznie,0
Allianz,2023,S.02.01.02,C0010,R0540,Najlepsze oszacowanie,0
Allianz,2023,S.02.01.02,C0010,R0550,Margines ryzyka,0
Allianz,2023,S.02.01.02,C0010,R0560,Rezerwy techniczno-ubezpieczeniowe – ubezpieczenia zdrowotne (o charakterze ubezpieczeń innych niż ubezpieczenia na życie),88 112
Allianz,2023,S.02.01.02,C0010,R0570,Rezerwy techniczno-ubezpieczeniowe obliczane łącznie,0
Allianz,2023,S.02.01.02,C0010,R0580,Najlepsze oszacowanie,83 257
Allianz,2023,S.02.01.02,C0010,R0590,Margines ryzyka,4 855
Allianz,2023,S.02.01.02,C0010,R0600,"Rezerwy techniczno-ubezpieczeniowe – ubezpieczenia na życie (z wyłączeniem ubezpieczeń, w których świadczenie jest ustalane w oparciu o określone indeksy lub inne wartości bazowe, i ubezpieczeń z ubezpieczeniowym funduszem kapitałowym)",1 339 155
Allianz,2023,S.02.01.02,C0010,R0610,Rezerwy techniczno-ubezpieczeniowe – ubezpieczenia zdrowotne (o charakterze ubezpieczeń na życie),-904 164
Allianz,2023,S.02.01.02,C0010,R0620,Rezerwy techniczno-ubezpieczeniowe obliczane łącznie,0
Allianz,2023,S.02.01.02,C0010,R0630,Najlepsze oszacowanie,-1 074 028
Allianz,2023,S.02.01.02,C0010,R0640,Margines ryzyka,169 864
Allianz,2023,S.02.01.02,C0010,R0650,"Rezerwy techniczno-ubezpieczeniowe – ubezpieczenia na życie (z wyłączeniem zdrowotnych oraz ubezpieczeń, w których świadczenie jest ustalane w oparciu o określone indeksy lub inne wartości bazowe, i ubezpieczeń z ubezpieczeniowym funduszem kapitałowym)",2 243 320
Allianz,2023,S.02.01.02,C0010,R0660,Rezerwy techniczno-ubezpieczeniowe obliczane łącznie,0
Allianz,2023,S.02.01.02,C0010,R0670,Najlepsze oszacowanie,2 031 705
Allianz,2023,S.02.01.02,C0010,R0680,Margines ryzyka,211 615
Allianz,2023,S.02.01.02,C0010,R0690,"Rezerwy techniczno-ubezpieczeniowe – ubezpieczenia, w których świadczenie jest ustalane w oparciu o określone indeksy lub inne wartości bazowe, i ubezpieczenia z ubezpieczeniowym funduszem kapitałowym",9 623 502
Allianz,2023,S.02.01.02,C0010,R0700,Rezerwy techniczno-ubezpieczeniowe obliczane łącznie,0
Allianz,2023,S.02.01.02,C0010,R0710,Najlepsze oszacowanie,9 267 014
Allianz,2023,S.02.01.02,C0010,R0720,Margines ryzyka,356 489
Allianz,2023,S.02.01.02,C0010,R0740,Zobowiązania warunkowe,0
Allianz,2023,S.02.01.02,C0010,R0750,Pozostałe rezerwy (inne niż rezerwy techniczno-ubezpieczeniowe),132 991
Allianz,2023,S.02.01.02,C0010,R0760,Zobowiązania z tytułu świadczeń emerytalnych dla pracowników,749
Allianz,2023,S.02.01.02,C0010,R0770,Zobowiązania z tytułu depozytów zakładów reasekuracji,0
Allianz,2023,S.02.01.02,C0010,R0780,Rezerwy z tytułu odroczonego podatku dochodowego,1 021 734
Allianz,2023,S.02.01.02,C0010,R0790,Instrumenty pochodne,82 197
Allianz,2023,S.02.01.02,C0010,R0800,Zobowiązania wobec instytucji kredytowych,2 933
Allianz,2023,S.02.01.02,C0010,R0810,Zobowiązania finansowe inne niż zobowiązania wobec instytucji kredytowych,8 393
Allianz,2023,S.02.01.02,C0010,R0820,Zobowiązania z tytułu ubezpieczeń i wobec pośredników ubezpieczeniowych,102 976
Allianz,2023,S.02.01.02,C0010,R0830,Zobowiązania z tytułu reasekuracji biernej,50 032
Allianz,2023,S.02.01.02,C0010,R0840,"Pozostałe zobowiązania (handlowe, inne niż z tytułu działalności ubezpieczeniowej)",47 621
Allianz,2023,S.02.01.02,C0010,R0850,Zobowiązania podporządkowane,0
Allianz,2023,S.02.01.02,C0010,R0860,Zobowiązania podporządkowane nieuwzględnione w podstawowych środkach własnych,0
Allianz,2023,S.02.01.02,C0010,R0870,Zobowiązania podporządkowane uwzględnione w podstawowych środkach własnych,0
Allianz,2023,S.02.01.02,C0010,R0880,Pozostałe zobowiązania (niewykazane w innych pozycjach),57 767
Allianz,2023,S.02.01.02,C0010,R0900,Zobowiązania ogółem,12 558 162
Allianz,2023,S.02.01.02,C0010,R1000,Nadwyżka aktywów nad zobowiązaniami,5 613 106
