Kod_S,Kod_C,Kod_R,Nazwa,Wartosc
S.05.01.02,C0110,R0300,Netto,365 445
S.05.01.02,C0120,R0300,Netto,61 950
S.05.01.02,C0130,R0300,Netto,0
S.05.01.02,C0140,R0300,Netto,3 628
S.05.01.02,C0150,R0300,Netto,366
S.05.01.02,C0160,R0300,Netto,2 124
S.05.01.02,C0200,R0300,Netto,8 214 632
S.05.01.02,C0100,R0310,Brutto – Bezpośrednia działalność ubezpieczeniowa,0
S.05.01.02,C0110,R0310,Brutto – Bezpośrednia działalność ubezpieczeniowa,223 008
S.05.01.02,C0120,R0310,Brutto – Bezpośrednia działalność ubezpieczeniowa,43 804
S.05.01.02,C0200,R0310,Brutto – Bezpośrednia działalność ubezpieczeniowa,4 632 181
S.05.01.02,C0100,R0320,Brutto – reasekuracja czynna proporcjonalna,0
S.05.01.02,C0110,R0320,Brutto – reasekuracja czynna proporcjonalna,3
S.05.01.02,C0120,R0320,Brutto – reasekuracja czynna proporcjonalna,176 814
S.05.01.02,C0200,R0320,Brutto – reasekuracja czynna proporcjonalna,370 214
S.05.01.02,C0130,R0330,Brutto – reasekuracja czynna nieproporcjonalna,0
S.05.01.02,C0140,R0330,Brutto – reasekuracja czynna nieproporcjonalna,2 868
S.05.01.02,C0150,R0330,Brutto – reasekuracja czynna nieproporcjonalna,-22
S.05.01.02,C0160,R0330,Brutto – reasekuracja czynna nieproporcjonalna,-228
S.05.01.02,C0200,R0330,Brutto – reasekuracja czynna nieproporcjonalna,2 618
S.05.01.02,C0100,R0340,Udział zakładów reasekuracji,0
S.05.01.02,C0110,R0340,Udział zakładów reasekuracji,106
S.05.01.02,C0120,R0340,Udział zakładów reasekuracji,204 069
S.05.01.02,C0130,R0340,Udział zakładów reasekuracji,0
S.05.01.02,C0140,R0340,Udział zakładów reasekuracji,0
S.05.01.02,C0150,R0340,Udział zakładów reasekuracji,0
S.05.01.02,C0160,R0340,Udział zakładów reasekuracji,2 996
S.05.01.02,C0200,R0340,Udział zakładów reasekuracji,269 527
S.05.01.02,C0100,R0400,Netto,0
S.05.01.02,C0110,R0400,Netto,222 905
S.05.01.02,C0120,R0400,Netto,16 549
S.05.01.02,C0130,R0400,Netto,0
S.05.01.02,C0140,R0400,Netto,2 868
S.05.01.02,C0150,R0400,Netto,-22
S.05.01.02,C0160,R0400,Netto,-3 224
S.05.01.02,C0200,R0400,Netto,4 735 486
S.05.01.02,C0100,R0550,Koszty poniesione,0
S.05.01.02,C0110,R0550,Koszty poniesione,119 913
S.05.01.02,C0120,R0550,Koszty poniesione,50 518
S.05.01.02,C0130,R0550,Koszty poniesione,0
S.05.01.02,C0140,R0550,Koszty poniesione,816
S.05.01.02,C0150,R0550,Koszty poniesione,114
S.05.01.02,C0160,R0550,Koszty poniesione,-12
S.05.01.02,C0200,R0550,Koszty poniesione,2 848 410
S.05.01.02,C0200,R1200,Saldo – pozostałe koszty/przychody techniczne,111 493
S.05.01.02,C0200,R1300,Koszty ogółem,2 959 904
